id,team
571374,LIU
571375,St. Bonaventure
571376,Utah
571377,UAlbany
571378,Bellarmine
571379,Binghamton
571380,Boston U.
571381,Brown
571382,Bryant
571383,Bucknell
571384,Canisius
571385,Cleveland St.
571386,Colgate
571387,Cornell
571388,Dartmouth
571389,Delaware
571390,Denver
571391,Detroit Mercy
571392,Drexel
571393,Duke
571394,Fairfield
571395,Georgetown
571396,Hampton
571398,Harvard
571399,Hobart
571400,Hofstra
571401,Holy Cross
571402,Jacksonville
571403,Johns Hopkins
571404,Lafayette
571405,Lehigh
571406,UMass Lowell
571407,Loyola Maryland
571408,Manhattan
571409,Marist
571410,Marquette
571411,UMBC
571412,Maryland
571413,Massachusetts
571414,Mercer
571415,Michigan
571416,Monmouth
571417,Mount St. Mary's
571418,North Carolina
571419,NJIT
571420,Notre Dame
571421,Ohio St.
571422,Penn St.
571423,Penn
571424,Princeton
571425,Providence
571426,Quinnipiac
571427,Richmond
571428,Robert Morris
571429,Rutgers
571430,Sacred Heart
571431,St. John's (NY)
571432,Saint Joseph's
571433,Siena
571434,Stony Brook
571435,Syracuse
571436,Towson
571437,Air Force
571438,Army West Point
571439,Navy
571440,Vermont
571441,Villanova
571442,VMI
571443,Virginia
571444,Wagner
571445,Yale
571446,High Point
571447,Merrimack
571448,Queens (NC)
571449,Lindenwood
571457,Le Moyne
